广西移动魔百盒,#genre#


广东珠江,http://113.93.49.59:2000/udp/239.77.0.1:5146
广东珠江,http://59.34.139.191:4000/udp/239.77.0.1:5146
广东珠江,http://113.102.161.217:4022/udp/239.77.0.1:5146

大湾区卫视,http://113.93.49.59:2000/udp/239.77.0.215:5146
大湾区卫视,http://59.34.139.191:4000/udp/239.77.0.215:5146
大湾区卫视,http://113.102.161.217:4022/udp/239.77.0.215:5146


广东影视,http://113.93.49.59:2000/udp/239.77.0.217:5146
广东影视,http://59.34.139.191:4000/udp/239.77.0.217:5146
广东影视,http://113.102.161.217:4022/udp/239.77.0.217:5146



岭南戏曲,http://113.93.49.59:2000/udp/239.77.0.16:5146
岭南戏曲,http://59.34.139.191:4000/rtp/239.77.0.16:5146
岭南戏曲,http://113.102.161.217:4022/udp/239.77.0.16:5146
